"Name","Class","Marks"
"afqwq","fbbdw","1298","0"
"bcbdw","wqacw","1292","1"
"fddqd","acwqf","1424","0"
"babdw","awwqa","1694","0"
"dawcf","cqadb","1331","1"
"cfwdc","facdq","1038","1"
"bdfbb","dqdqa","1755","0"
"ddbdf","bqqqw","1954","0"
"qbddd","awdbq","1149","0"
"dbqba","ccwbq","1899","1"
"dqfad","aqbqq","1457","1"
"wwbaq","dqddq","1202","0"
"daaqc","dwqfa","1461","0"
"qffqb","fcddq","1806","1"
"qqqcf","babfb","1638","0"
"wfcdd","bcbfq","1283","0"
"dqawf","baqwa","1908","1"
"ccaqa","ddfcd","1487","0"
"bfqbb","qbawb","1217","0"
"bdqcc","wfcdq","1285","1"
"qdadw","bwaaw","1257","1"
"qdddb","qddqq","1246","0"
"dwbdd","caqfc","1900","1"
"qabad","dbbbq","1823","1"
"wqcqd","dwadq","1081","0"
"cdqwc","caqdd","1163","1"
"fbcdq","bdfab","1782","0"
"dfaac","fdbad","1645","0"
"caddc","qacdq","1743","0"
"afqqb","qbqqc","1997","0"
"qaqqb","qbdbf","1923","0"
"ffcww","dwqqf","1934","0"
"qcadf","fqdcd","1469","1"
"cafqq","qqbdw","1529","1"
"cqwqd","wddca","1765","0"
"cqcfa","dbwbd","1269","1"
"qfqqd","qdfcd","1889","0"
"cqcfb","dfbda","1214","0"
"afqww","adqdw","1759","0"
"qacqc","acqbf","1868","1"
"wbffa","qcwaq","1455","1"
"ffqcw","qcfcd","1977","1"
"dadcd","cqcqd","1774","1"
"wbbbf","qbbqb","1940","0"
"dbqwb","wbqwq","1003","1"
"bbqqd","daadb","1250","0"
"dwfaw","wfdda","1527","0"
"wqfbw","fdafa","1563","0"
"dqwqa","dadqd","1603","0"
"bwfqq","wqfaq","1160","0"
"bdqda","qqacc","1442","1"
"acbbb","wdqac","1738","1"
"dqdqw","awdfw","1258","0"
"wddcf","dfwcd","1302","1"
"baqab","wbaaq","1913","1"
"qqbaw","ddqaq","1706","0"
"qwdca","cacaq","1385","1"
"bcwaf","qdwdb","1658","1"
"cqddw","wqdbb","1773","1"
"afafa","qqdca","1571","1"
"fqdqq","qadwq","1658","1"
"fwbcd","wwada","1152","1"
"adqbb","qwqqb","1320","0"
"qdddb","dqqqf","1673","0"
"qdcqw","qqfqd","1200","1"
"bdfqw","bwwwq","1234","0"
"bfwbq","dfdaw","1745","0"
"wbafd","wwqcd","1590","0"
"dqfqb","bqdqa","1023","0"
"dfbff","wwcda","1644","1"
"fqcdd","qdqcf","1827","1"
"wbwwc","acqff","1055","1"
"waqdd","aacaq","1632","0"
"qfcdq","bdqcw","1352","0"
"ddcaw","bqqba","1848","1"
"qbwdf","affdc","1525","0"
"qdffw","dqwqq","1413","0"
"dwdqd","cdqqq","1655","0"
"dwqdd","wacda","1897","0"
"qaqdq","bqqfd","1218","0"
"qbddw","waqcq","1700","0"
"bddbw","ddfwb","1614","0"
"cwqcq","qdbqd","1913","1"
"cccfb","qcfdq","1642","1"
"fcqbf","fqqaa","1691","1"
"dqwfa","dawfq","1400","1"
"dbfcc","fwbaq","1143","1"
"aadcd","wadff","1292","1"
"cwqbf","ddddq","1087","0"
"bfadc","qqqdb","1048","1"
"cqbbw","cffqb","1935","1"
"dfqwb","dwcwq","1092","1"
"wdadd","bbdqq","1916","1"
"qqddq","bcfdw","1979","1"
"caacw","qbffb","1699","1"
"ddwdd","qqcdq","1191","0"
"qddqa","qddaa","1905","1"
"bqbwd","dwdwq","1902","1"
"qbawb","ffddd","1680","1"
"wbqfq","qqddf","1447","1"
"bcwdq","qffqf","1356","1"
"aqfdb","awdad","1148","0"
"qddqa","qwbqd","1087","1"
"wfqcf","cbddw","1107","0"
"ddwdb","wdaqq","1905","1"
"cbqdq","dffbd","1381","1"
"wafqf","qwfda","1280","1"
"qqadd","fqwba","1815","0"
"qbfwa","dffww","1892","1"
"bqfaw","qadcf","1757","0"
"wdcqd","dcdda","1929","0"
"wdqwf","cwwqq","1707","0"
"qwcfd","wdcqd","1736","1"
"qffcq","qwqca","1938","0"
"wwqbd","qfqfd","1320","1"
"wadqq","cdcwd","1188","1"
"cdqwc","qqwwc","1790","0"
"qwdwq","fddcf","1489","1"
"qddbq","cdbwd","1578","0"
"qwdaq","qfqqd","1054","0"
"adbqd","dcfqb","1164","0"
"bdddq","wbqbc","1259","0"
"dfqcd","qdcdf","1287","1"
"qaafd","wfwda","1379","1"
"daddw","qwbbb","1081","1"
"cdaaf","wwqad","1784","0"
"cddqd","cqadq","1879","1"
"cdqqb","wwqcc","1632","1"
"qaqaa","dfqaa","1961","0"
"bwbwq","dddda","1755","0"
"ddqqq","daqqw","1885","0"
"dqqqa","fwqfw","1220","1"
"wqfbd","bqada","1737","0"
"dqdcq","abffd","1977","0"
"cfdqc","qaqqc","1603","0"
"cqcdw","aaddb","1620","0"
"dddwc","ffcfq","1899","0"
"ffcfq","fwdad","1969","0"
"wwaqa","aafda","1996","0"
"qfddw","bdbaf","1496","0"
"bcwac","fbwda","1850","1"
"qaqwa","cdwda","1493","0"
"daqaa","awcaq","1681","1"
"wfdqa","qcfbd","1192","1"
"affcb","dcqqf","1732","1"
"bbdfb","qwddd","1238","0"
"wwcda","cqdqq","1338","0"
"accdf","qbfff","1783","0"
"cbfdc","qqdbq","1009","0"
"dcqda","dcddw","1653","1"
"dqbdq","qabqd","1116","1"
"dfcbc","wddbw","1634","0"
"dqqbb","dfqqw","1902","1"
"cwwfd","wqdda","1508","1"
"wbqqq","dqqfw","1459","1"
"dfqff","qddca","1290","1"
"qaddc","fcqac","1661","1"
"qdfwa","afddq","1463","0"
"cbbqc","qqdcc","1918","1"
"wwdqd","fqqqd","1575","1"
"ddbfq","ccfqf","1827","1"
"ffaff","qdqcb","1163","0"
"qcbqw","qdqca","1601","0"
"ddqfd","dacbw","1695","1"
"dqcqd","bqdqc","1656","0"
"dcqdd","qbcaq","1537","0"
"qbddb","bcfcw","1597","0"
"cdfff","qfwaq","1117","1"
"cdqcf","qdaqd","1384","0"
"ccddd","wfadc","1065","1"
"adcba","daqcd","1899","1"
"qqqbd","afqdc","1004","0"
"qaadd","qqwaq","1824","0"
"afwwq","wwwaq","1842","1"
"bwdbq","qcfqd","1570","1"
"qbdqw","dbbcf","1237","1"
"dqqcc","bqwqd","1649","0"
"dddqw","bcdqq","1285","0"
"qdaad","qccqd","1211","0"
"qdqdf","fdqdf","1446","1"
"bcwqd","ddbca","1700","0"
"aqqfc","qfqac","1546","0"
"qbfaq","cdfdq","1915","1"
"fqadb","cbwqa","1348","0"
"cqfqf","dfddd","1926","1"
"fadqf","ddcqq","1467","1"
"dfddq","ccqbd","1730","1"
"qdwww","cqdbw","1185","0"
"fwbcq","qfbwd","1585","1"
"wdcdf","qdbfw","1186","0"
"dwfcd","ddfaf","1010","1"
"wawqq","qwacq","1648","0"
"wbfqd","acwqf","1148","1"
"wqcbb","dwqwa","1213","0"
"cqwdq","dfqqd","1810","0"
"qdqdb","bqqqq","1449","0"
"qwdcw","waqdw","1305","0"
"dqdaq","dcdbd","1156","0"
"bffqd","fddbc","1361","1"
"fwqcf","bcdba","1636","0"
"wfwdq","dqdqd","1317","0"
"dcdfd","wddqa","1407","0"
"bccba","qaqfq","1317","0"
"aqqbw","qadqq","1631","0"
"bcbqq","ddddq","1137","0"
"dafdb","bqddq","1645","1"
"ffdwd","dafcw","1463","0"
"dbdab","wdqcd","1826","0"
"abqqq","qqbwd","1113","0"
"wdbwq","wwcfw","1056","1"
"wbdbf","bqbqd","1161","0"
"qqdqa","dcwdd","1509","1"
"qqbdq","afcdw","1711","0"
"dafdw","wqdqf","1377","0"
"dfqwd","bcadw","1533","0"
"ffwqq","ccdca","1455","1"
"dwdqa","dqwdd","1500","0"
"wqwbd","dcqad","1407","0"
"qdwcq","daqwa","1547","0"
"dwfff","qfcqw","1256","1"
"qaqda","bfqqf","1379","0"
"cdbdd","ddwqq","1857","0"
"bcwbq","cbaqw","1408","1"
"cadwa","qwdcb","1180","0"
"dbddd","wdbda","1917","0"
"fqdbq","ffcda","1306","1"
"fwccq","addbd","1641","0"
"qddca","wdbfq","1356","1"
"wwdaq","dcdfq","1625","0"
"cabqw","cfwqq","1782","0"
"ddffc","cdqqf","1995","1"
"bcwaq","fqcaf","1506","1"
"afddw","dqwaq","1143","1"
"wbdwf","qqbwf","1535","0"
"ddqqw","cdwfc","1445","0"
"wbaqw","aabdq","1156","1"
"bcdwq","faaqq","1154","0"
"daqdc","aqwba","1133","1"
"qqffb","dwbfd","1253","1"
"bcqdq","qddbw","1649","1"
"dqcfb","baqwb","1840","1"
"qbacf","fwbwa","1383","1"
"qbqda","dcqda","1653","1"
"cccab","dqqbf","1272","1"
"qqdaq","cqfda","1588","0"
"faffa","cdqqf","1235","1"
"adqqd","ddddc","1371","1"
"cfdcw","qqcaw","1981","0"
"dcabb","bbqfd","1672","1"
"dqdaa","qqccq","1757","0"
"cqwdq","wbbqb","1240","0"
"qbdwq","bwdbq","1637","1"
"dccaq","dqbdq","1230","0"
"ddqwf","dfwqd","1231","1"
"qcccw","fqdbq","1065","0"
"qwfwq","ccqcd","1815","1"
"qwqqf","bbffb","1148","0"
"dqcqc","ccqab","1782","0"
"wqfqq","wdqcb","1643","0"
"dbqcc","dqqdb","1782","0"
"wcbdd","qddqa","1330","0"
"qdcdd","wdwqq","1665","0"
"dbqcq","bqqdw","1732","0"
"bacfa","qdqbf","1238","1"
"qccad","bqafd","1002","1"
"acccw","wqqaa","1999","1"
"ddcad","aqqqf","1617","1"
"fcdqd","awddq","1296","1"
"wdqda","qcbqw","1181","0"
"aaqbd","qacqd","1942","1"
"wcfbd","qaddd","1897","1"
"dqfqd","wdbfw","1175","0"
"wdqfd","adaqc","1206","0"
"fwdwc","dfqcc","1166","1"
"daqwd","ffadb","1802","1"
"cdqdc","dddqq","1677","0"
"qqacd","dadfd","1989","1"
"qwdqq","addda","1396","1"
"dcdaq","afdqa","1386","0"
"bfwaa","wffqq","1825","1"
"wfcqb","daqbc","1172","1"
"caqad","wqqwa","1255","1"
"bfdbd","ccwaa","1364","1"
"ffqdb","bfdda","1689","0"
"wqdqc","fqadq","1243","0"
"ddcdf","adqcd","1882","0"
"wdfaw","ddaqd","1585","0"
"qbaaw","wcwdc","1175","1"
"qqbda","qqwdb","1361","1"
"fdbfd","dbqbc","1209","0"
"wawdb","fddad","1026","1"
"fbfbd","fdbdq","1094","0"
"qdqqq","qdwaw","1591","0"
"fqccc","ddddc","1522","0"
"qdwbq","dqwqd","1384","1"
"fwfdq","ddwqd","1604","1"
"qqdcw","cqqdb","1907","0"
"dwfda","qfdfa","1797","1"
"fabdb","ddfaq","1451","1"
"ddfww","wawcd","1780","1"
"qfwca","afdqd","1602","0"
"aqfad","awqwb","1332","1"
"dwwcf","fdcfq","1446","1"
"cadqc","dwafq","1763","1"
"ddddq","bdwfb","1719","1"
"cqdqf","qwddd","1455","0"
"fbfww","qaqfq","1161","1"
"qcqdd","wdadw","1059","1"
"wwqfd","cdadb","1453","0"
"cqbqq","bddaq","1099","0"
"bqqdf","cqcqq","1666","0"
"qcabc","bdaad","1441","1"
"fbqqf","qwdbq","1191","0"
"wdcdd","wwaba","1913","1"
"daqww","qbcac","1202","1"
"bbdqd","adddd","1243","1"
"acfaw","ddwdc","1574","0"
"wfdaf","cfwdb","1737","1"
"cbfdw","wddqc","1408","1"
"bfcwb","qdqab","1215","0"
"abbqd","qdwdc","1864","1"
"qfbbd","cqdqa","1946","1"
"qbbcb","aqfwq","1699","0"
"dcbqc","addcb","1877","1"
"qfqbb","wcqqf","1527","0"
"wwdaq","bbdcc","1567","0"
"dfqqc","bcfcb","1514","1"
"dafqc","bqwqq","1369","1"
"qdacb","ddfdq","1166","0"
"qfbbq","fdqdw","1726","1"
"qdwww","cdcdb","1006","0"
"qbqbd","bcwdd","1880","0"
"abcca","qqbcd","1049","1"
"aqqab","fffqa","1307","0"
"addqq","bdqaw","1354","1"
"wfcwq","dcdwb","1982","0"
"wdbqw","dbwbd","1575","1"
"wbdwc","fabwq","1271","0"
"dwqbq","ddcqd","1279","0"
"dbdda","wabcq","1477","1"
"aadbq","wwcdq","1516","0"
"ffcdd","afffa","1698","0"
"dwqqd","aqdcb","1096","0"
"awqbq","qwcqb","1032","1"
"adddq","qqddf","1529","0"
"qbddc","dcqca","1832","0"
"qfaaq","wadcq","1405","0"
"qacdq","fdqab","1715","1"
"dddqd","wbbwc","1771","0"
"qccdb","wcdqb","1199","0"
"ddqfq","ccdcq","1805","1"
"qcabb","qqccq","1910","0"
"qdwqa","cqbqb","1039","0"
"wwfbd","ccfqd","1046","1"
"bccdb","cwacb","1356","1"
"wddqb","fqbqf","1472","0"
"dqqqw","babfa","1155","1"
"cqqbw","ffqqb","1504","1"
"cqaca","fbaqb","1226","0"
"dfaad","qfqwc","1258","0"
"dbqqa","wfcdf","1309","0"
"bqbfb","bwcdf","1701","1"
"ddwqf","dwqqq","1321","1"
"qwcfd","dqdda","1980","1"
"qwwfd","cqbdb","1488","0"
"dqwbf","acddf","1474","1"
"wwcdf","qqdqw","1611","0"
"dcbwq","dcwfa","1575","1"
"daaqf","daaad","1441","0"
"qqbbd","dbdfq","1639","1"
"bbaww","dwqqq","1357","1"
"fwddc","wcadb","1436","0"
"fcdqd","fqfdw","1570","1"
"wfqac","cbwcc","1542","1"
"aabdq","dqbdq","1033","1"
"dbaaa","abfdw","1398","1"
"qdfqd","cdaad","1073","1"
"aqcqc","qqadd","1609","0"
"ddfaf","bafqa","1060","1"
"qqccc","qfdqq","1917","0"
"wqdqw","dwfqq","1688","1"
"wdfcb","cadbb","1770","1"
"wdqqd","ffbbq","1525","0"
"dddqa","cadcb","1188","1"
"qfdaq","wdddw","1784","1"
"qcqbd","bdbbc","1143","0"
"cdwbq","aqfdd","1661","0"
"cfddd","fcdqf","1522","0"
"dfddb","qcwaq","1432","0"
"afwdf","fbqfw","1559","0"
"aqqfq","wafcd","1810","0"
"fdwaq","dadcf","1454","0"
"qwqqw","fwdca","1269","0"
"wqdqw","dqdff","1276","1"
"fqwwa","cdwqq","1298","0"
"bdbqc","dfqaw","1165","1"
"qcwqq","dwbaw","1485","1"
"dddqw","dcbad","1252","1"
"ccfqw","qqaaf","1655","1"
"dbfwd","fdqdq","1445","1"
"qbqbq","fdcbq","1960","0"
"dbdqa","cqdwd","1383","0"
"qfqqc","qdcba","1639","0"
"ccdwa","dacwf","1302","1"
"bdwdq","wbdqd","1699","0"
"qqdqq","acfqf","1837","0"
"cacdq","cffaq","1792","0"
"abfdf","cqddq","1658","1"
"bqccc","dqcdb","1184","0"
"wdwqq","afdwa","1276","1"
"bcqdq","qcccq","1420","0"
"cdddq","wqqdd","1948","0"
"cqbqb","bddqw","1054","0"
"ddqdd","qacqb","1171","1"
"dffdb","bwawq","1441","1"
"faadf","cdffb","1331","1"
"qadcq","bwbqw","1550","0"
"qfdaw","wqfab","1166","1"
"bwfbd","acfbw","1723","0"
"faqbc","adfbf","1383","0"
"qfddd","qdaqc","1184","1"
"qddwb","qadfd","1303","0"
"ddqqw","qdqaw","1032","1"
"qdqbc","wbddw","1182","1"
"qbbdq","fwdba","1540","1"
"fwcfd","daddw","1773","1"
"bdddd","aadqb","1272","1"
"qadaf","ddwwc","1612","1"
"cdqqb","bqfqq","1069","1"
"dddfb","cdqqf","1698","1"
"adfcq","faffa","1275","1"
"wwbqq","dfqqq","1575","1"
"dafaf","wcqac","1859","0"
"wbcdq","qqfqc","1030","0"
"qffbd","cddwf","1759","1"
"fdqcc","fqaqc","1134","1"
"abqbb","qqadq","1530","0"
"awbfc","qdawq","1543","0"
"fdcqw","bqaqd","1385","0"
"qffqq","qcdff","1977","1"
"dfqqf","aadba","1050","1"
"qqdcd","dwdab","1647","1"
"ddcdw","dcbaq","1672","0"
"aqwbc","dbfqw","1108","1"
"qqqdc","fbdcd","1382","1"
"waqqq","fqdbd","1843","1"
"qadda","addqa","1160","0"
"ccdwd","dacfw","1795","1"
"ddwaf","bqaqf","1535","1"
"dawqq","fqqqd","1641","0"
"afddd","wcddc","1164","1"
"qfddb","dqccc","1413","1"
"bqdqd","wbwdq","1614","0"
"wcfab","qbdaw","1150","0"
"cdffb","dqddf","1416","1"
"qbcfb","ddqdc","1693","1"
"awqdq","dddac","1549","0"
"bcafc","dcdqa","1937","1"
"bafdc","faabd","1027","0"
"cddfd","qdqcq","1378","0"
"wdqqf","cqaad","1228","0"
"qfdqc","badbw","1591","1"
"ddqaq","fdcdd","1590","1"
"dqqca","qwwqd","1463","1"
"wcqqb","dwadb","1294","0"
"bwwcc","qqdaq","1713","1"
"baafc","ddabb","1314","1"
"wqqfc","fwfdc","1871","1"
"fawwq","ddadf","1472","0"
"qfdfd","qafad","1407","0"
"qwdfw","cdqqq","1583","1"
"dadaw","awaac","1623","0"
"qqqwb","waadc","1628","0"
"bfwfd","dbbdd","1563","1"
"waddc","dfqdf","1071","0"
"cfqqq","ddqqw","1533","0"
"badca","fbfcq","1508","0"
"waqcc","wwqda","1855","0"
"wqddb","dddff","1726","0"
"aqwfd","addaa","1748","0"
"cdqbd","cdqfq","1204","1"
"dddda","bdcfb","1512","0"
"qbqcd","bccqd","1404","1"
"aadaw","wdbaf","1198","1"
"dddbw","fqabq","1153","1"
"badqb","fqwdq","1822","1"
"qaqdc","qbcwf","1865","1"
"qddwf","qqcaa","1367","0"
"qdbaw","qcwbb","1578","1"
"bcdfw","dbaaq","1510","1"
"qfqaq","dddwc","1756","1"
"dqbaf","bbccq","1378","0"
"qcdqa","badcd","1148","1"
"cqcqq","fwbqd","1596","1"
"qqcba","qdwqd","1644","1"
"cfadw","wfcqf","1691","0"
"facdd","adwqc","1802","0"
"cbfqf","fqfww","1819","1"
"wdwbq","wqdad","1841","1"
"qbbdq","qwqqq","1516","1"
"cdqbf","dwqfd","1276","0"
"cqbaf","ddcqd","1103","0"
"wfqcf","qdcdq","1986","0"
"qdwaq","dfbcf","1181","0"
"wdwqd","qfcbb","1514","1"
"ddcbq","cdacq","1649","1"
"bdaqw","qfddf","1753","1"
"wdbbb","fcqfd","1918","1"
"dafwa","aadwb","1716","1"
"aqbdd","adqwd","1531","1"
"qwffa","qwdaf","1088","0"
"qqawb","fdqcb","1817","1"
"dbaca","qwqwb","1750","0"
"dwdcq","ccbqw","1153","0"
"qbwwa","ddbaa","1085","1"
"dwqaf","dqdfd","1809","0"
"cawff","cwfcw","1242","1"
"dqdqc","wwqwd","1317","1"
"qdwqq","acqqq","1330","1"
"acddq","aqcwf","1811","1"
"qbcdq","awfqq","1716","1"
"ddqqf","qdwdd","1956","0"
"fwfww","addqq","1777","0"
"facbb","qawdc","1111","1"
"dfdbq","fqcaq","1561","1"
"bddcd","dbqbq","1669","0"
"dbddd","qwdcd","1500","0"
"ddaqc","adcaa","1110","1"
"wwddb","bbccd","1507","0"
"dafqc","dddbq","1846","1"
"adbqa","aafbq","1735","1"
"cafbd","bqdfb","1494","0"
"cbdff","dcbdf","1551","0"
"dcwfw","wwbdb","1678","1"
"baddw","cqfdc","1746","1"
"fqddq","addbd","1665","1"
"ddfdq","facad","1362","0"
"wdqqb","ddfdd","1858","0"
"qaqbw","dqddd","1485","1"
"fbcdd","qqqbw","1055","1"
"qfddd","cqcdd","1811","1"
"fqddb","dwqaq","1957","1"
"cbdwq","abqdb","1673","1"
"wbffq","cfqad","1319","0"
"wbdwq","abdwc","1105","0"
"qdbqq","cfcqq","1016","0"
"wbfqq","dqbqd","1559","1"
"cabwd","adqab","1486","0"
"wawbc","adwcw","1602","1"
"awfca","bcaac","1041","1"
"bwfdd","dbqdq","1041","0"
"caadd","fqqqc","1071","1"
"fqfcq","fcdqq","1586","1"
"wbbdw","qdfdd","1820","0"
"dbbbd","ddfqq","1003","0"
"acdbd","fdbdd","1764","1"
"ddcdw","cwqqd","1793","0"
"abfcd","bwdfa","1091","0"
"cddfd","qdqbf","1365","1"
"wqqwf","dabda","1141","1"
"qbfwd","fqafa","1592","0"
"wfdqq","wcqdd","1945","1"
"fwaad","fddqq","1716","1"
"fqdbd","dcdbf","1596","1"
"dawdf","aawdd","1312","0"
"fwcwb","qbcfd","1560","1"
"qdwdd","dffad","1201","0"
"adbbb","ddbwd","1893","1"
"wwdqb","dqqfa","1364","1"
"dddqw","fbfbd","1527","0"
"fwada","cfdqq","1074","0"
"wdwfd","aqqwc","1970","0"
"cwfww","qdddd","1167","1"
"bqcba","acddw","1222","0"
"aadcq","fqqcd","1556","0"
"badff","cdqcq","1142","1"
"fwdqd","dwqqa","1618","0"
"qbqqa","cbdaw","1581","0"
"cbqwd","qqddq","1473","1"
"fddda","fbdad","1158","1"
"aaqwa","adwad","1577","1"
"bwbcb","dbdqw","1698","1"
"fdddd","afwfc","1321","0"
"fcqqa","aqdbq","1068","1"
"qwfdf","qqcbw","1845","1"
"dwqqw","fqwww","1560","0"
"cddac","ddcqc","1481","0"
"qbcwd","dddfd","1246","1"
"qcqqf","dbqqd","1889","1"
"dbdfw","acfcb","1909","0"
"qwdwq","qaaaa","1536","0"
"qqqwq","qfqwb","1651","0"
"wafwq","cqbba","1505","0"
"ccqwf","qqdbd","1485","0"
"qfbbq","bwcwq","1697","1"
"awqcq","dwaqc","1565","0"
"dbqqd","cwwba","1018","1"
"qcdqb","abccq","1896","1"
"adfff","cqqwd","1701","1"
"abqqw","faabd","1706","0"
"qfbda","abcdq","1084","0"
"awccd","qwcqd","1515","0"
"bwcqc","qdcqq","1270","0"
"fcqdw","dwqdq","1885","0"
"fqcda","wfqqd","1888","0"
"bbqad","bqqbq","1270","1"
"qafbf","bdfqb","1457","1"
"wfcqf","dqddb","1063","1"
"ccqdb","cqqww","1464","0"
"bwfwa","adqqc","1818","0"
"wdqfw","bwddq","1031","0"
"qbdqb","dqddd","1652","0"
"dddwq","fbfcw","1438","1"
"bawqq","qqbfc","1068","0"
"adwdd","bcdwd","1678","1"
"waddd","cqdbb","1011","1"
"qaaaf","wbdfb","1065","1"
"daddq","qdbqd","1638","0"
"cqcdq","cddca","1861","0"
"fccwf","ddwqq","1292","0"
"fqqfa","ddqaw","1322","1"
"qaaqd","cdfab","1540","1"
"qadbw","qqqdq","1676","0"
"dfqdb","daqdw","1905","1"
"faqbf","qbdqf","1121","1"
"qaqaq","ddacb","1281","1"
"fdcdq","cdbwq","1602","0"
"ffdfq","fcwqq","1839","1"
"bqbaq","bbqbc","1782","1"
"adaqb","bqbwq","1343","0"
"wdqfw","qcqaq","1044","1"
"qbdqw","afaqc","1766","0"
"bqfff","qwfdd","1575","1"
"qqfqf","fcdfb","1140","1"
"dddcw","dwqfq","1553","0"
"qcbqd","adwad","1519","0"
"cdqdq","dafqf","1047","0"
"dccff","acdcd","1985","0"
"dqddc","qqcdd","1476","1"
"dbqbf","daqaq","1114","1"
"cqfbq","qfcdd","1261","1"
"bcddb","cdafq","1358","1"
"cadfd","ffbdd","1601","1"
"abqqd","cwcbq","1720","1"
"fadba","wddqq","1794","0"
"cdqab","daqqw","1566","0"
"qbqfq","wdqbf","1148","0"
"fdwca","ddbdd","1441","1"
"qwqcf","wcqqf","1298","0"
"qfccw","qdbwq","1402","0"
"dqwcb","wdfbq","1014","1"
"aqqfq","wafqw","1750","0"
"bdqdb","qqqcb","1157","1"
"afqba","fqbfd","1776","1"
"dfawb","adqfa","1886","1"
"fafdq","badfq","1391","0"
"dfdbq","accqa","1194","1"
